"TABLE 5. Average Published Tuition and Fees at Public Institutions by State in Current Dollars and in 2017 Dollars, 2004-05 to 2017-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public Two-Year In-District Tuition and Fees,,,,,,,,,,,,,,,,Public Four-Year In-State Tuition and Fees,,,,,,,,,,,,,,,,,,
In 2017 Dollars,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,1-Year % Change,5-Year % Change,,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,1-Year % Change,5-Year % Change,,
Minnesota,"$3,795","$4,013","$4,264","$4,446","$4,562","$4,739","$4,939","$5,161","$5,369","$5,373","$5,382","$5,391","$5,375","$5,435",1%,1%,,"$6,463","$6,944","$7,518","$7,798","$8,317","$8,788","$9,387","$10,018","$10,361","$10,464","$10,564","$10,831","$11,016","$11,302",3%,9%,,
Missouri,"$2,152","$2,279","$2,391","$2,505","$2,586","$2,580","$2,580","$2,736","$2,888","$2,986","$3,078","$3,194","$3,264","$3,450",6%,19%,,"$5,934","$6,271","$6,526","$6,845","$7,228","$7,215","$7,271","$7,685","$7,945","$8,093","$8,395","$8,553","$8,628","$8,875",3%,12%,,
Mississippi,"$1,546","$1,668","$1,693","$1,709","$1,770","$1,855","$2,119","$2,205","$2,265","$2,393","$2,529","$2,585","$2,770","$3,118",13%,38%,,"$3,991","$4,184","$4,450","$4,757","$4,947","$4,952","$5,294","$5,673","$6,159","$6,565","$6,859","$7,147","$7,481","$7,988",7%,30%,,
Montana,"$2,366","$2,470","$2,572","$2,770","$2,904","$2,978","$3,029","$3,054","$3,094","$3,170","$3,174","$3,250","$3,319","$3,603",9%,16%,,"$4,468","$4,918","$5,258","$5,302","$5,336","$5,485","$5,612","$5,881","$6,155","$6,225","$6,291","$6,351","$6,431","$6,907",7%,12%,,
North Carolina,"$1,195","$1,245","$1,257","$1,341","$1,350","$1,600","$1,776","$2,070","$2,162","$2,253","$2,300","$2,327","$2,429","$2,437",0%,13%,,"$3,566","$3,655","$4,067","$4,306","$4,391","$4,539","$5,323","$5,689","$6,201","$6,516","$6,673","$6,969","$7,199","$7,385",3%,19%,,
North Dakota,"$3,000","$3,240","$3,304","$3,455","$3,837","$3,878","$3,880","$3,926","$3,969","$4,105","$4,192","$4,406","$4,430","$4,589",4%,16%,,"$4,606","$5,074","$5,512","$5,803","$6,107","$6,335","$6,569","$6,861","$7,006","$7,274","$7,514","$7,688","$7,890","$8,197",4%,17%,,
Nebraska,"$1,763","$1,866","$2,013","$2,155","$2,240","$2,294","$2,412","$2,491","$2,601","$2,676","$2,764","$2,894","$2,993","$3,122",4%,20%,,"$4,720","$5,302","$5,229","$5,581","$5,956","$6,234","$6,600","$6,906","$7,184","$7,315","$7,335","$7,608","$7,894","$8,269",5%,15%,,
New Hampshire,"$4,680","$5,184","$5,234","$5,609","$5,607","$5,892","$6,271","$6,724","$6,736","$6,735","$6,512","$6,512","$6,533","$6,845",5%,2%,,"$8,085","$8,584","$9,127","$9,698","$10,293","$11,075","$11,946","$13,502","$14,615","$14,652","$14,731","$15,160","$15,700","$16,073",2%,10%,,
New Jersey,"$2,802","$2,947","$3,188","$3,387","$3,550","$3,794","$3,922","$4,111","$4,160","$4,266","$4,441","$4,600","$4,721","$4,870",3%,17%,,"$7,979","$8,601","$9,331","$9,974","$10,748","$11,133","$11,649","$12,030","$12,417","$12,723","$13,005","$13,306","$13,562","$13,868",2%,12%,,
New Mexico,"$1,040","$1,118","$1,102","$1,143","$1,146","$1,208","$1,325","$1,499","$1,593","$1,615","$1,654","$1,656","$1,715","$1,755",2%,10%,,"$3,909","$4,247","$4,056","$4,248","$4,520","$4,786","$5,128","$5,435","$5,678","$5,960","$6,155","$6,406","$6,636","$6,921",4%,22%,,
Nevada,"$1,590","$1,643","$1,695","$1,763","$1,921","$2,022","$2,243","$2,513","$2,700","$2,700","$2,700","$2,805","$2,910","$3,213",10%,19%,,"$2,874","$3,019","$3,645","$3,948","$4,397","$4,543","$5,318","$6,043","$6,390","$6,387","$6,427","$6,661","$6,910","$7,274",5%,14%,,
New York,"$3,272","$3,383","$3,460","$3,547","$3,653","$3,871","$3,961","$4,253","$4,453","$4,619","$4,851","$5,103","$5,193","$5,332",3%,20%,,"$4,948","$5,006","$5,041","$5,076","$5,121","$5,740","$5,793","$6,204","$6,562","$6,926","$7,293","$7,645","$7,710","$7,940",3%,21%,,
Ohio,"$3,201","$3,381","$3,435","$3,515","$3,516","$3,495","$3,732","$3,953","$4,208","$4,374","$4,531","$4,534","$4,321","$4,387",2%,4%,,"$8,236","$8,340","$8,444","$8,462","$8,474","$8,505","$9,056","$9,448","$9,768","$9,942","$10,087","$10,205","$10,307","$10,505",2%,8%,,
Oklahoma,"$2,106","$2,237","$2,306","$2,486","$2,693","$2,704","$2,832","$3,024","$3,163","$3,288","$3,497","$3,647","$3,959","$4,173",5%,32%,,"$3,535","$3,798","$4,432","$4,993","$5,641","$5,421","$5,750","$6,071","$6,403","$6,583","$7,082","$7,450","$8,032","$8,460",5%,32%,,
Oregon,"$2,863","$2,966","$3,161","$3,222","$3,336","$3,611","$3,745","$4,021","$4,222","$4,429","$4,559","$4,657","$4,785","$5,041",5%,19%,,"$5,221","$5,430","$5,576","$5,946","$6,239","$6,906","$7,434","$7,994","$8,312","$8,600","$8,934","$9,371","$9,740","$10,357",6%,25%,,
Pennsylvania,"$2,868","$3,052","$3,110","$3,234","$3,345","$3,448","$3,470","$3,927","$4,200","$4,450","$4,698","$4,927","$5,226","$5,327",2%,27%,,"$8,249","$8,643","$9,051","$9,792","$10,353","$10,764","$11,331","$12,085","$12,377","$12,802","$13,135","$13,393","$13,944","$14,437",4%,17%,,
Puerto Rico,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"$1,174","$1,411","$1,421","$1,786","$1,868","$1,892","$2,549","$2,613","$2,741","$1,912","$2,088","$2,110","$2,175","$2,167",0%,-21%,,
Rhode Island,"$2,310","$2,470","$2,686","$2,846","$3,090","$3,376","$3,652","$3,676","$3,950","$3,950","$3,950","$4,266","$4,266","$4,564",7%,16%,,"$5,933","$6,439","$6,787","$7,221","$7,727","$8,503","$9,319","$10,014","$10,921","$10,896","$10,959","$11,396","$11,423","$12,226",7%,12%,,
South Carolina,"$2,828","$2,941","$3,125","$3,235","$3,346","$3,481","$3,646","$3,717","$4,248","$4,491","$4,642","$4,772","$4,984","$5,208",4%,23%,,"$6,611","$7,385","$7,913","$8,371","$9,132","$9,520","$10,063","$10,356","$10,744","$11,166","$11,450","$11,816","$12,207","$12,615",3%,17%,,
South Dakota,"$3,035","$3,196","$3,449","$3,596","$3,939","$4,314","$4,585","$4,943","$5,468","$5,541","$5,705","$6,138","$6,292","$6,560",4%,20%,,"$4,348","$4,593","$4,969","$5,343","$5,698","$6,031","$6,318","$6,793","$7,388","$7,644","$7,700","$8,055","$8,161","$8,446",3%,14%,,
Tennessee,"$2,197","$2,390","$2,490","$2,632","$2,777","$2,971","$3,196","$3,552","$3,659","$3,763","$3,947","$4,159","$4,262","$4,292",1%,17%,,"$4,306","$4,763","$4,973","$5,365","$5,686","$6,098","$6,522","$7,170","$7,676","$8,036","$8,925","$9,263","$9,537","$9,789",3%,28%,,
Texas,"$1,382","$1,469","$1,610","$1,649","$1,662","$1,746","$1,858","$2,040","$2,146","$2,204","$2,290","$2,324","$2,437","$2,547",5%,19%,,"$5,075","$5,385","$5,985","$6,450","$6,919","$7,328","$7,744","$8,053","$8,344","$8,521","$8,837","$9,221","$9,536","$9,836",3%,18%,,
Utah,"$2,017","$2,155","$2,324","$2,444","$2,555","$2,710","$2,867","$3,017","$3,149","$3,312","$3,466","$3,565","$3,661","$3,753",3%,19%,,"$3,274","$3,583","$3,816","$4,059","$4,275","$4,573","$4,916","$5,300","$5,612","$5,914","$6,161","$6,363","$6,560","$6,788",3%,21%,,
Virginia,"$2,081","$2,191","$2,372","$2,561","$2,860","$3,087","$3,585","$3,983","$4,192","$4,330","$4,560","$4,802","$4,973","$5,127",3%,22%,,"$5,579","$6,023","$6,556","$7,008","$7,581","$7,936","$8,809","$9,535","$9,901","$10,366","$11,183","$11,818","$12,353","$12,820",4%,29%,,
Vermont,"$4,720","$4,990","$5,230","$5,500","$5,830","$6,070","$6,250","$6,520","$6,790","$7,090","$7,320","$7,530","$7,740","$7,980",3%,18%,,"$8,783","$9,248","$9,783","$10,485","$11,341","$12,016","$12,474","$13,095","$13,525","$13,965","$14,476","$14,993","$15,562","$16,043",3%,19%,,
Washington,"$2,482","$2,633","$2,738","$2,879","$2,962","$3,153","$3,360","$3,814","$4,243","$4,306","$4,295","$4,172","$4,204","$4,376",4%,3%,,"$4,914","$5,252","$5,670","$5,986","$6,433","$7,321","$8,197","$9,494","$10,595","$10,811","$10,685","$10,287","$9,270","$9,480",2%,-11%,,
Wisconsin,"$2,906","$3,132","$3,145","$3,270","$3,422","$3,507","$3,623","$3,829","$4,030","$4,179","$4,312","$4,466","$4,334","$4,394",1%,9%,,"$5,218","$5,626","$6,042","$6,413","$6,796","$7,169","$7,711","$8,197","$8,690","$8,741","$8,770","$8,809","$8,933","$8,962",0%,3%,,
West Virginia,"$2,081","$2,102","$2,207","$2,345","$2,479","$2,632","$2,524","$2,707","$2,923","$3,278","$3,731","$3,829","$4,003","$4,299",7%,47%,,"$3,631","$3,871","$4,166","$4,406","$4,707","$4,980","$5,226","$5,536","$5,885","$6,253","$6,687","$7,143","$7,492","$7,887",5%,34%,,
Wyoming,"$1,686","$1,770","$1,830","$1,922","$2,018","$2,164","$2,223","$2,327","$2,440","$2,605","$2,706","$2,781","$2,999","$3,154",5%,29%,,"$3,243","$3,429","$3,515","$3,554","$3,621","$3,726","$3,927","$4,125","$4,278","$4,404","$4,646","$4,891","$5,055","$5,217",3%,22%,,
"SOURCE: The College Board, Annual Survey of Colleges.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Average tuition and fee prices are weighted by full-time enrollment. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data on individual states should be interpreted with caution because of the possible impact of reporting errors and missing data on states with small numbers of institutions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This table was prepared in October 2017.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
