"TABLE 5. Average Published Tuition and Fees at Public Institutions by State in Current Dollars and in 2017 Dollars, 2004-05 to 2017-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public Two-Year In-District Tuition and Fees,,,,,,,,,,,,,,,,Public Four-Year In-State Tuition and Fees,,,,,,,,,,,,,,,,,,
In 2017 Dollars,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,1-Year % Change,5-Year % Change,,2004-05,2005-06,2006-07,  2007-08 ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,1-Year % Change,5-Year % Change,,
Massachusetts,"$4,344","$4,382","$4,305","$4,341","$4,368","$4,878","$5,158","$5,219","$5,464","$5,389","$5,454","$5,843","$5,931","$6,076",2%,11%,,"$9,091","$9,189","$9,121","$9,269","$9,169","$10,502","$10,653","$11,014","$11,378","$11,263","$11,269","$11,913","$12,524","$12,732",2%,12%,,
Maryland,"$3,849","$3,875","$3,755","$3,822","$3,705","$3,858","$4,005","$4,018","$4,152","$4,183","$4,248","$4,384","$4,493","$4,536",1%,9%,,"$8,750","$8,941","$8,680","$8,595","$8,226","$8,498","$8,687","$8,626","$8,772","$8,886","$8,920","$9,399","$9,519","$9,575",1%,9%,,
Maine,"$3,354","$3,523","$3,520","$3,667","$3,512","$3,678","$3,660","$3,607","$3,561","$3,561","$3,586","$3,581","$3,597","$3,582",0%,1%,,"$7,239","$7,598","$7,958","$8,619","$8,990","$9,712","$10,044","$10,148","$10,004","$9,841","$9,806","$9,819","$9,854","$9,965",1%,0%,,
Michigan,"$2,578","$2,663","$2,684","$2,737","$2,732","$2,872","$3,025","$3,100","$3,250","$3,379","$3,470","$3,565","$3,649","$3,757",3%,16%,,"$8,135","$8,891","$9,230","$9,988","$10,160","$11,095","$11,380","$11,746","$11,959","$12,156","$11,917","$12,302","$12,691","$12,935",2%,8%,,
Minnesota,"$4,905","$5,027","$5,129","$5,225","$5,077","$5,387","$5,546","$5,592","$5,737","$5,631","$5,530","$5,529","$5,467","$5,435",-1%,-5%,,"$8,353","$8,699","$9,043","$9,164","$9,256","$9,989","$10,540","$10,854","$11,070","$10,966","$10,854","$11,110","$11,206","$11,302",1%,2%,,
Missouri,"$2,781","$2,855","$2,876","$2,944","$2,878","$2,933","$2,897","$2,964","$3,086","$3,129","$3,162","$3,276","$3,320","$3,450",4%,12%,,"$7,669","$7,856","$7,850","$8,044","$8,044","$8,201","$8,164","$8,327","$8,489","$8,481","$8,625","$8,773","$8,776","$8,875",1%,5%,,
Mississippi,"$1,998","$2,090","$2,036","$2,008","$1,970","$2,109","$2,379","$2,389","$2,420","$2,507","$2,599","$2,651","$2,818","$3,118",11%,29%,,"$5,158","$5,241","$5,353","$5,590","$5,505","$5,629","$5,944","$6,147","$6,581","$6,879","$7,047","$7,331","$7,609","$7,988",5%,21%,,
Montana,"$3,058","$3,094","$3,094","$3,255","$3,232","$3,385","$3,401","$3,309","$3,306","$3,321","$3,261","$3,333","$3,376","$3,603",7%,9%,,"$5,775","$6,161","$6,325","$6,231","$5,938","$6,235","$6,301","$6,372","$6,576","$6,524","$6,463","$6,514","$6,542","$6,907",6%,5%,,
North Carolina,"$1,544","$1,560","$1,512","$1,576","$1,502","$1,819","$1,994","$2,243","$2,310","$2,361","$2,363","$2,387","$2,470","$2,437",-1%,5%,,"$4,609","$4,579","$4,892","$5,060","$4,887","$5,159","$5,977","$6,164","$6,625","$6,828","$6,856","$7,149","$7,323","$7,385",1%,11%,,
North Dakota,"$3,877","$4,059","$3,974","$4,060","$4,270","$4,408","$4,357","$4,254","$4,241","$4,302","$4,307","$4,520","$4,506","$4,589",2%,8%,,"$5,953","$6,356","$6,630","$6,819","$6,796","$7,201","$7,376","$7,434","$7,486","$7,622","$7,720","$7,885","$8,025","$8,197",2%,10%,,
Nebraska,"$2,279","$2,338","$2,421","$2,532","$2,493","$2,608","$2,708","$2,699","$2,779","$2,804","$2,839","$2,968","$3,044","$3,122",3%,12%,,"$6,100","$6,642","$6,290","$6,559","$6,628","$7,086","$7,411","$7,483","$7,676","$7,665","$7,537","$7,803","$8,030","$8,269",3%,8%,,
New Hampshire,"$6,049","$6,494","$6,296","$6,592","$6,240","$6,697","$7,041","$7,285","$7,197","$7,057","$6,691","$6,679","$6,645","$6,845",3%,-5%,,"$10,449","$10,754","$10,979","$11,397","$11,455","$12,589","$13,413","$14,629","$15,615","$15,353","$15,135","$15,549","$15,970","$16,073",1%,3%,,
New Jersey,"$3,621","$3,692","$3,835","$3,980","$3,951","$4,313","$4,404","$4,454","$4,445","$4,470","$4,562","$4,718","$4,802","$4,870",1%,10%,,"$10,312","$10,775","$11,224","$11,721","$11,961","$12,655","$13,080","$13,034","$13,267","$13,332","$13,362","$13,648","$13,796","$13,868",1%,5%,,
New Mexico,"$1,344","$1,401","$1,326","$1,343","$1,275","$1,373","$1,488","$1,624","$1,702","$1,692","$1,700","$1,698","$1,744","$1,755",1%,3%,,"$5,052","$5,320","$4,879","$4,992","$5,030","$5,440","$5,758","$5,889","$6,067","$6,246","$6,324","$6,570","$6,750","$6,921",3%,14%,,
Nevada,"$2,055","$2,058","$2,039","$2,072","$2,138","$2,298","$2,518","$2,723","$2,885","$2,829","$2,774","$2,877","$2,960","$3,213",9%,11%,,"$3,714","$3,782","$4,384","$4,640","$4,893","$5,164","$5,971","$6,548","$6,827","$6,693","$6,603","$6,832","$7,029","$7,274",3%,7%,,
New York,"$4,229","$4,238","$4,162","$4,168","$4,065","$4,400","$4,447","$4,608","$4,758","$4,840","$4,984","$5,234","$5,283","$5,332",1%,12%,,"$6,395","$6,271","$6,064","$5,965","$5,699","$6,525","$6,504","$6,722","$7,011","$7,258","$7,494","$7,842","$7,843","$7,940",1%,13%,,
Ohio,"$4,137","$4,236","$4,132","$4,131","$3,913","$3,973","$4,190","$4,283","$4,496","$4,583","$4,655","$4,650","$4,395","$4,387",0%,-2%,,"$10,645","$10,448","$10,157","$9,944","$9,430","$9,667","$10,168","$10,237","$10,437","$10,418","$10,363","$10,467","$10,485","$10,505",0%,1%,,
Oklahoma,"$2,722","$2,802","$2,774","$2,921","$2,997","$3,074","$3,180","$3,276","$3,380","$3,446","$3,592","$3,741","$4,028","$4,173",4%,23%,,"$4,569","$4,758","$5,331","$5,868","$6,278","$6,162","$6,456","$6,578","$6,841","$6,898","$7,276","$7,641","$8,170","$8,460",4%,24%,,
Oregon,"$3,700","$3,716","$3,802","$3,786","$3,712","$4,105","$4,205","$4,357","$4,511","$4,641","$4,684","$4,777","$4,868","$5,041",4%,12%,,"$6,748","$6,802","$6,707","$6,988","$6,943","$7,850","$8,347","$8,661","$8,881","$9,012","$9,179","$9,612","$9,907","$10,357",5%,17%,,
